experiment,method,sequence,run_id,raw_process_status,experiment_completion_status,legal_evaluation,trajectory_rows,trajectory_columns,trajectory_sha256,evaluation_script,max_timestamp_diff,alignment,groundtruth,ATE_RMSE,ATE_mean,ATE_median,RPE_translation_RMSE,RPE_rotation_RMSE_deg,run_dir
P2,Temporal,fr3_walking_rpy,run_02,exit_0,completed,1,537,8,c72fb4d6f16dd4170bcd8adf6dea70d167687c7697505e7047519b56ef896e12,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/groundtruth.txt,0.7752521029292677,0.6006666731965038,0.41328671100953307,0.12837669562692694,2.59953425731348,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_rpy/run_02
P2,Temporal,fr3_walking_rpy,run_03,exit_0,completed,1,374,8,1bd919f6fc15a4cbb6753641c6f78c657f9d3d92c4f35fe038c1be94a2622824,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/groundtruth.txt,0.6569087276142932,0.6230850229337009,0.6125642181338866,0.10974082360663205,2.192221668684707,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_rpy/run_03
P2,Temporal,fr3_walking_rpy,run_04,exit_0,completed,1,419,8,ab1782c4108cabe55b67fbca2cf917d6c6cce79800bee175c3aead26a4e5309e,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/groundtruth.txt,0.8096708258250224,0.7439752923148294,0.8665897000782026,0.143479977671966,2.990935025029193,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_rpy/run_04
P2,Temporal,fr3_walking_rpy,run_05,exit_0,completed,1,517,8,922d055b7b1883fcb9353d534a1ed3cbce9a085ee033d8d0944b7758ec0e57e1,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/groundtruth.txt,0.7798853187666974,0.6211310668539926,0.4658076862545006,0.04933987390055208,1.0731719558806694,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_rpy/run_05
P2,Temporal,fr3_walking_halfsphere,run_01,exit_0,completed,1,1003,8,69d42d858e12494dfe55ffb21506def911f10c73e5cfd858eed56cc2c2a239e5,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/groundtruth.txt,0.6477103437254645,0.6284291944931747,0.6499084504658823,0.028687488833836473,0.6808219439614335,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_halfsphere/run_01
P2,Temporal,fr3_walking_halfsphere,run_02,exit_0,completed,1,669,8,6be66ce166f2026cd75fc47e65b23f9f7df2cdc2594aa66809464c8e7859c50c,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/groundtruth.txt,0.5279700486846471,0.5034526458118587,0.46174697991060965,0.030482892443796508,0.6969895053149778,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_halfsphere/run_02
P2,Temporal,fr3_walking_halfsphere,run_03,exit_0,completed,1,770,8,02e7e51be9969abb6ef3dd1c20e8fa3652bb3d78d1d56aa4b50aa32dcae126b9,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/groundtruth.txt,0.19111161871031632,0.14045189513425946,0.0849704680734951,0.03518021010669229,0.7385837451541689,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_halfsphere/run_03
P2,Temporal,fr3_walking_halfsphere,run_04,exit_0,completed,1,511,8,c90db01fc45705e0301c43edd028a6c99f1e88955de4e44ff4c6b4e43923fe99,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/groundtruth.txt,0.20526766435931199,0.17227364461390154,0.12841697396878238,0.03092384382401341,0.6220085363712077,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_halfsphere/run_04
P2,Temporal,fr3_walking_halfsphere,run_05,exit_0,completed,1,748,8,2d1029b6283681083b4abeffc4c080dded11b6149aecbae9b3ccb00faf25fd7a,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/groundtruth.txt,0.20897301269449756,0.16587113321917762,0.11769121364494085,0.02816509718576395,0.6890802961715279,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_halfsphere/run_05
P3,Semantic,fr3_walking_xyz,run_01,exit_1,incomplete,0,0,,,scripts/evaluate_tum_metrics.py,,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,,,,,,,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_xyz/run_01
P3,Semantic,fr3_walking_xyz,run_02,unknown,incomplete,0,0,,,scripts/evaluate_tum_metrics.py,,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,,,,,,,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_xyz/run_02
P3,Semantic,fr3_walking_xyz,run_03,exit_0,completed,1,827,8,e4f3387136fe45a21d1e41b08cf1bdb6ead01c69108ec0a3e16c140eedc945c8,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/groundtruth.txt,0.5868177559516549,0.5255073954433388,0.525562816182497,0.020671439399327238,0.5020079432129826,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_xyz/run_03
P3,Semantic,fr3_walking_xyz,run_04,exit_0,completed,1,827,8,7ee8342c623dd7f3dd06d304594573c84d0ad209b383ec4c44008a0fc105301f,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/groundtruth.txt,0.6707273372869159,0.5791441032011161,0.571023410345818,0.020639220500445817,0.5188011742916834,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_xyz/run_04
P3,Semantic,fr3_walking_xyz,run_05,exit_0,completed,1,827,8,c29dcd5d6f3de58dea7ee7460fb0779b601ec28183354e18e5598834d38b4297,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/groundtruth.txt,0.6522333405807819,0.585078609510878,0.5758508151990079,0.021428565543940004,0.5154647514118477,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_xyz/run_05
P3,Semantic,fr3_walking_rpy,run_01,exit_0,completed,1,510,8,e4bd8bcb179f2d8b76d27960dcc320af80535457a021660774e005419880ff87,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/groundtruth.txt,0.6946884012619052,0.6345551469658071,0.5569755970109616,0.09585127601688775,2.0548538923018778,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_rpy/run_01
P3,Semantic,fr3_walking_rpy,run_02,exit_0,completed,1,416,8,37ab60b175a9be2e7a4d442ad8ff4136c864d23a6ab31e0bbf291c87aa048bf1,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/groundtruth.txt,0.7309753854055371,0.7036055345407626,0.6859832871439195,0.1148022260409031,2.3934932251793586,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_rpy/run_02
