variant,variant_key,sequence,run_id,status,ATE_RMSE,RPE_translation_RMSE,RPE_rotation_RMSE,FPS,Pose_Missing_Ratio,Precision,Recall,F1,Trajectory_Smoothness,Switching_Frequency,Label_Fluctuation,Probability_Variance,Mean_Probability_Change,Temporal_Consistency_Score,ID_Switches,Average_Track_Length,Input_Frames,Valid_Poses,Total_Runtime_sec,run_dir
Temporal Consistency,temporal_consistency,fr3_walking_halfsphere,run_02,completed,0.15465740081938076,0.03025540761803649,0.6576625318416188,13.795762,0.376101860920666,nan,nan,nan,0.02342494534483991,0.037383177570093455,0.03650631239572948,nan,nan,0.9634936876042706,nan,nan,1021,637,74.008236,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/temporal_consistency/fr3_walking_halfsphere/run_02
Temporal Consistency,temporal_consistency,fr3_walking_halfsphere,run_03,completed,0.14663747667377658,0.031115759381621002,0.6913204003640475,13.294734,0.38981390793339865,nan,nan,nan,0.023595964376507426,0.04472843450479233,0.03683854140959954,nan,nan,0.9631614585904005,nan,nan,1021,623,76.797327,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/temporal_consistency/fr3_walking_halfsphere/run_03
Object-level Semantic Map,object_level_map,fr3_walking_xyz,run_01,completed,0.5879861435652254,0.08607541482885032,1.4892426081853334,10.602626,0.11124546553808945,nan,nan,nan,0.027456082101836535,0.01907356948228883,0.02710022367584513,nan,nan,0.9728997763241549,nan,nan,827,735,77.999542,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/object_level_map/fr3_walking_xyz/run_01
Object-level Semantic Map,object_level_map,fr3_walking_xyz,run_02,completed,0.7466981976684756,0.0208718932723741,0.5267539636727144,10.061456,0.0,nan,nan,nan,0.020895443426473013,0.01696969696969697,0.026759049098076696,nan,nan,0.9732409509019233,nan,nan,827,827,82.194859,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/object_level_map/fr3_walking_xyz/run_02
Object-level Semantic Map,object_level_map,fr3_walking_xyz,run_03,completed,0.7921443239465452,0.021397020056069433,0.5341294263331854,11.268377,0.0,nan,nan,nan,0.02085240431093557,0.01696969696969697,0.026803647513240155,nan,nan,0.9731963524867598,nan,nan,827,827,73.391227,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/object_level_map/fr3_walking_xyz/run_03
Object-level Semantic Map,object_level_map,fr3_walking_rpy,run_01,completed,0.7687278534841744,0.11973837674447683,2.4490280579329142,13.576969,0.2967667436489607,nan,nan,nan,0.039308866175385815,0.05245901639344262,0.03860586434142715,nan,nan,0.9613941356585729,nan,nan,866,609,63.784485,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/object_level_map/fr3_walking_rpy/run_01
Object-level Semantic Map,object_level_map,fr3_walking_rpy,run_02,completed,0.8331977315525981,0.10037564203700722,2.137883373735676,12.232229,0.292147806004619,nan,nan,nan,0.03730685822241596,0.05203252032520325,0.04021035219949128,nan,nan,0.9597896478005087,nan,nan,866,613,70.796584,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/object_level_map/fr3_walking_rpy/run_02
Object-level Semantic Map,object_level_map,fr3_walking_rpy,run_03,completed,0.6888734903285669,0.11103572392209825,2.300166311042636,11.625715,0.2990762124711316,nan,nan,nan,0.03883079597287834,0.05592105263157895,0.05052105344429634,nan,nan,0.9494789465557036,nan,nan,866,607,74.490040,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/object_level_map/fr3_walking_rpy/run_03
Object-level Semantic Map,object_level_map,fr3_walking_halfsphere,run_01,completed,0.21359576912408504,0.024406008857404425,0.5567224967696311,12.007162,0.32419196865817823,nan,nan,nan,0.021639824299143948,0.04329004329004329,0.03858130173919647,nan,nan,0.9614186982608035,nan,nan,1021,690,85.032584,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/object_level_map/fr3_walking_halfsphere/run_01
Object-level Semantic Map,object_level_map,fr3_walking_halfsphere,run_02,completed,0.24193620605680521,0.028369497210606744,0.6219646521324704,13.379110,0.49069539666993145,nan,nan,nan,0.02465600980720035,0.0421455938697318,0.0361436045048815,nan,nan,0.9638563954951185,nan,nan,1021,520,76.312999,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/object_level_map/fr3_walking_halfsphere/run_02
Object-level Semantic Map,object_level_map,fr3_walking_halfsphere,run_03,completed,0.18442824521397622,0.0256773384488538,0.5993696534695898,12.058885,0.2664054848188051,nan,nan,nan,0.020944736457954107,0.050666666666666665,0.04215212922173275,nan,nan,0.9578478707782673,nan,nan,1021,749,84.667862,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/object_level_map/fr3_walking_halfsphere/run_03
Full Model,full_model,fr3_walking_xyz,run_01,completed,0.7090228348009235,0.021345242558523873,0.5213752776581809,11.024996,0.0,nan,nan,nan,0.022044036912950534,0.01696969696969697,0.026881540282154587,nan,nan,0.9731184597178454,nan,nan,827,827,75.011368,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/full_model/fr3_walking_xyz/run_01
Full Model,full_model,fr3_walking_xyz,run_02,completed,0.31708452487033084,0.034307669657372725,0.6987753204002997,10.573012,0.12575574365175335,nan,nan,nan,0.03452738050065889,0.01662049861495845,0.025017013486183137,nan,nan,0.9749829865138169,nan,nan,827,723,78.218016,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/full_model/fr3_walking_xyz/run_02
Full Model,full_model,fr3_walking_xyz,run_03,completed,0.7823055187057454,0.02286758792386105,0.5455243292662871,12.543872,0.0,nan,nan,nan,0.023463639699681755,0.01696969696969697,0.02699420969643969,nan,nan,0.9730057903035603,nan,nan,827,827,65.928604,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/full_model/fr3_walking_xyz/run_03
Full Model,full_model,fr3_walking_rpy,run_01,completed,0.014345726512190514,0.01112375035283925,0.3536734905209919,13.948093,0.9607390300230947,nan,nan,nan,0.014690327840250907,0.0,0.042845436288059244,nan,nan,0.9571545637119407,nan,nan,866,34,62.087343,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/full_model/fr3_walking_rpy/run_01
Full Model,full_model,fr3_walking_rpy,run_02,completed,0.015758005244488296,0.016861073819827026,0.3631594397656985,12.040528,0.9607390300230947,nan,nan,nan,0.017072319291079614,0.0,0.042529489276915924,nan,nan,0.9574705107230841,nan,nan,866,34,71.923756,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/full_model/fr3_walking_rpy/run_02
Full Model,full_model,fr3_walking_rpy,run_03,completed,0.03391238557978461,0.03157937414038011,0.7342659924833036,12.753596,0.9618937644341802,nan,nan,nan,0.01958489137811373,0.0,0.042055021046301856,nan,nan,0.9579449789536981,nan,nan,866,33,67.902419,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/full_model/fr3_walking_rpy/run_03
Full Model,full_model,fr3_walking_halfsphere,run_01,completed,0.12761214742285837,0.029779806258077003,0.7149509773450095,10.464723,0.4142997061704211,nan,nan,nan,0.023826132264696136,0.03672787979966611,0.03625804437659219,nan,nan,0.9637419556234078,nan,nan,1021,598,97.565888,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/full_model/fr3_walking_halfsphere/run_01
Full Model,full_model,fr3_walking_halfsphere,run_02,completed,0.19763848797703046,0.023671949929282714,0.5568900935203727,14.471937,0.3476983349657199,nan,nan,nan,0.02212029796399555,0.05697151424287856,0.043359060433047714,nan,nan,0.9566409395669523,nan,nan,1021,666,70.550336,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/full_model/fr3_walking_halfsphere/run_02
Full Model,full_model,fr3_walking_halfsphere,run_03,completed,0.19651347281631562,0.028042192299494128,0.5964331795966086,14.445068,0.38197845249755147,nan,nan,nan,0.022599854796696985,0.050473186119873815,0.039860450288158746,nan,nan,0.9601395497118412,nan,nan,1021,631,70.681562,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/full_model/fr3_walking_halfsphere/run_03
